Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$14.86,-0.78,-4.987%,30438020.00,United States,,11073,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.416,-0.0104,-2.439%,57084106.00,Canada,2015,372323,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$40.00,-0.36,-0.892%,139341080.00,United States,1988,7113,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$20.09,-2.91,-12.652%,31056810.00,United States,,629249,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.72,0.00,0.00%,139725000.00,United States,2021,4466,Finance,Finance: Consumer Services
AE,Adams Resources & Energy Inc. Common Stock,$26.60,0.59,2.268%,113076999.00,United States,,7006,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.67,-0.16,-1.812%,440017915.00,United States,,64759,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$1.31,0.02,1.55%,49694965.00,,2018,48984,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.05,0.04,1.99%,81364525.00,United States,,225969,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$16.44,-0.16,-0.964%,49694109.00,United States,2014,19288,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.29,0.06,4.878%,41328436.00,United States,,121596,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$1.73,0.11,6.79%,40347224.00,China,,255317,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.50,-0.01,-0.662%,300686936.00,United States,,764009,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.60,-0.01,-0.383%,15082600.00,United States,,107723,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$39.90,0.31,0.783%,323212743.00,United States,2020,466415,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$9.13,0.33,3.75%,121723452.00,Canada,,2235551,Consumer Durables,Home Furnishings
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.80,-0.02,-0.524%,94773680.00,United States,,8631,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.9872,-0.0428,-4.155%,99576933.00,Canada,,617700,Basic Industries,Other Metals and Minerals
ASXC,Asensus Surgical Inc. Common Stock,$2.48,0.06,2.479%,578387629.00,United States,,3381485,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$6.93,0.01,0.145%,147826006.00,United States,,42153,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.4631,-0.0284,-5.778%,75394816.00,United States,,965320,Basic Industries,Metal Mining Services
AWX,Avalon Holdings Corporation Common Stock,$5.18,0.43,9.053%,20199053.00,United States,,1452524,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$1.89,-0.13,-6.436%,284789403.00,Canada,,1574535,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$13.4999,0.9749,7.784%,219610933.00,,,18135,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.41,0.3349,1.078%,173313658.00,United States,,24988,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.775,0.1349,0.526%,,United States,,5743,,
BDL,Flanigan's Enterprises Inc. Common Stock,$29.60,0.10,0.339%,55015951.00,United States,,12172,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.53,-0.01,-0.649%,18299573.00,United States,,26023094,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$2.74,-0.10,-3.521%,50221304.00,Canada,,84543,Consumer Services,Other Specialty Stores
BHB,Bar Harbor Bankshares Inc. Common Stock,$28.14,-0.38,-1.332%,421602626.00,United States,,28943,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$3.23,-0.02,-0.615%,54217879.00,United States,,15994,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$10.87,-0.21,-1.895%,132618109.00,,2018,98921,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$17.48,-0.05,-0.285%,328174886.00,,,20016,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$12.22,-0.42,-3.323%,362069863.00,,2014,328085,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.59,-0.0432,-0.169%,,,,1328,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.379,-0.161,-0.63%,,,,817,,
BRN,Barnwell Industries Inc. Common Stock,$2.42,0.10,4.31%,20030727.00,United States,,115861,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.78,-0.09,-2.326%,3985280154.00,Canada,,6768338,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$3.74,-0.07,-1.837%,68447775.00,United States,,27832,Miscellaneous,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$4.00,0.00,0.00%,118339980.00,,2021,96710,Consumer Non-Durables,Food Distributors
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$11.86,0.46,4.035%,613513198.00,United States,,731534,Health Care,Major Pharmaceuticals
BWL/A,Bowl America Inc.,$9.10,0.075,0.831%,,United States,,2033,,
